Host,Interface,Speed,Duplex,Description,IPaddr,Protocol-Status,Link-Status,MTU
R1v,GigabitEthernet0/0,,,Link to R2v,10.1.12.1/30,up,up,1500
R1v,GigabitEthernet0/1,Unknown,Full Duplex,TRUNK to D1V,,up,up,1500
R1v,GigabitEthernet0/1.1,,,,,up,up,1500
R1v,GigabitEthernet0/1.10,,,,192.168.10.1/24,up,up,1500
R1v,GigabitEthernet0/1.20,,,,192.168.20.1/24,up,up,1500
R1v,GigabitEthernet0/1.30,,,,192.168.30.1/24,up,up,1500
R1v,GigabitEthernet0/2,Auto Speed,Auto Duplex,,,down,administratively down,1500
R1v,GigabitEthernet0/3,,,MGMT,10.10.7.215/24,up,up,1500
R4v,GigabitEthernet0/0,,,link to R3v,10.1.34.2/30,up,up,1500
R4v,GigabitEthernet0/1,Unknown,Full Duplex,Trunk to D2v,,up,up,1500
R4v,GigabitEthernet0/1.30,,,,192.168.30.1/24,up,up,1500
R4v,GigabitEthernet0/1.40,,,,192.168.40.1/24,up,up,1500
R4v,GigabitEthernet0/1.50,,,,192.168.50.1/24,up,up,1500
R4v,GigabitEthernet0/2,Auto Speed,Auto Duplex,,,down,administratively down,1500
R4v,GigabitEthernet0/3,,,MGMT,10.10.7.230/24,up,up,1500
R3v,GigabitEthernet0/0,,,Link to G0/0,10.1.23.2/30,up,up,1500
R3v,GigabitEthernet0/1,,,Lik to G0/1,10.1.34.1/30,up,up,1500
R3v,GigabitEthernet0/2,Auto Speed,Auto Duplex,,,down,administratively down,1500
R3v,GigabitEthernet0/3,,,MGMT,10.10.7.125/24,up,up,1500
D1v,GigabitEthernet0/0,Auto Speed,Auto Duplex,UPLINK to R1v,,up (connected),up,1500
D1v,GigabitEthernet0/1,Auto Speed,Auto Duplex,TRUNK to AC1v,,up (connected),up,1500
D1v,GigabitEthernet0/2,Auto Speed,Auto Duplex,TRUNK to AC2v,,up (connected),up,1500
D1v,GigabitEthernet0/3,Auto Speed,Auto Duplex,MGMT,10.10.7.155/24,up (connected),up,1500
D1v,GigabitEthernet1/0,Auto Speed,Auto Duplex,TRUNK to AC1v,,up (connected),up,1500
D1v,GigabitEthernet1/1,Auto Speed,Auto Duplex,TRUNK to AC2v,,up (connected),up,1500
D1v,GigabitEthernet1/2,Auto Speed,Auto Duplex,,,down (notconnect),down,1500
D1v,GigabitEthernet1/3,Auto Speed,Auto Duplex,,,down (notconnect),down,1500
D1v,Port-channel1,,,,,up (connected),up,1500
D1v,Port-channel2,,,,,up (connected),up,1500
D1v,Vlan123,,,,,down,administratively down,1500
AC4v,GigabitEthernet0/0,Auto Speed,Auto Duplex,link to D2v,,up (connected),up,1500
AC4v,GigabitEthernet0/1,Auto Speed,Auto Duplex,VPC6,,up (connected),up,1500
AC4v,GigabitEthernet0/2,Auto Speed,Auto Duplex,VPC7,,up (connected),up,1500
AC4v,GigabitEthernet0/3,Auto Speed,Auto Duplex,MGMT,10.10.7.200/24,up (connected),up,1500
AC4v,GigabitEthernet1/0,Auto Speed,Auto Duplex,link to D2v,,up (connected),up,1500
AC4v,GigabitEthernet1/1,Auto Speed,Auto Duplex,,,down (notconnect),down,1500
AC4v,GigabitEthernet1/2,Auto Speed,Auto Duplex,,,down (notconnect),down,1500
AC4v,GigabitEthernet1/3,Auto Speed,Auto Duplex,,,down (notconnect),down,1500
AC4v,Port-channel2,,,,,up (connected),up,1500
D2v,GigabitEthernet0/0,Auto Speed,Auto Duplex,uplink to R4v,,up (connected),up,1500
D2v,GigabitEthernet0/1,Auto Speed,Auto Duplex,Uplink to AC3v,,up (connected),up,1500
D2v,GigabitEthernet0/2,Auto Speed,Auto Duplex,Uplink to AC4v,,up (connected),up,1500
D2v,GigabitEthernet0/3,Auto Speed,Auto Duplex,MGMT,10.10.7.110/24,up (connected),up,1500
D2v,GigabitEthernet1/0,Auto Speed,Auto Duplex,Uplink to AC4v,,up (connected),up,1500
D2v,GigabitEthernet1/1,Auto Speed,Auto Duplex,Uplink to AC3v,,up (connected),up,1500
D2v,GigabitEthernet1/2,Auto Speed,Auto Duplex,,,down (notconnect),down,1500
D2v,GigabitEthernet1/3,Auto Speed,Auto Duplex,,,down (notconnect),down,1500
D2v,Port-channel1,,,,,up (connected),up,1500
D2v,Port-channel2,,,,,up (connected),up,1500
AC1v,GigabitEthernet0/0,Auto Speed,Auto Duplex,UPLINK_TO_DISTRIBUTION,,up (connected),up,1500
AC1v,GigabitEthernet0/1,Auto Speed,Auto Duplex,VPC1,,up (connected),up,1500
AC1v,GigabitEthernet0/2,Auto Speed,Auto Duplex,VPC2,,up (connected),up,1500
AC1v,GigabitEthernet0/3,Auto Speed,Auto Duplex,MGMT,10.10.7.186/24,up (connected),up,1500
