Host,Interface,Description,IPaddr,Protocol-Status,Link-Status,MTU
R4v,GigabitEthernet0/0,link to R3v,10.1.34.2/30,up,up,1500
R4v,GigabitEthernet0/1,Trunk to D2v,,up,up,1500
R4v,GigabitEthernet0/1.30,,192.168.30.1/24,up,up,1500
R4v,GigabitEthernet0/1.40,,192.168.40.1/24,up,up,1500
R4v,GigabitEthernet0/1.50,,192.168.50.1/24,up,up,1500
R4v,GigabitEthernet0/2,,,down,administratively down,1500
R4v,GigabitEthernet0/3,MGMT,10.10.7.230/24,up,up,1500
R1v,GigabitEthernet0/0,Link to R2v,10.1.12.1/30,up,up,1500
R1v,GigabitEthernet0/1,TRUNK to D1V,,up,up,1500
R1v,GigabitEthernet0/1.1,,,up,up,1500
R1v,GigabitEthernet0/1.10,,192.168.10.1/24,up,up,1500
R1v,GigabitEthernet0/1.20,,192.168.20.1/24,up,up,1500
R1v,GigabitEthernet0/1.30,,192.168.30.1/24,up,up,1500
R1v,GigabitEthernet0/2,,,down,administratively down,1500
R1v,GigabitEthernet0/3,MGMT,10.10.7.215/24,up,up,1500
R3v,GigabitEthernet0/0,Link to G0/0,10.1.23.2/30,up,up,1500
R3v,GigabitEthernet0/1,Lik to G0/1,10.1.34.1/30,up,up,1500
R3v,GigabitEthernet0/2,,,down,administratively down,1500
R3v,GigabitEthernet0/3,MGMT,10.10.7.125/24,up,up,1500
R2v,GigabitEthernet0/0,Link to R3v,10.1.23.1/30,up,up,1500
R2v,GigabitEthernet0/1,Link to R1v,10.1.12.2/30,up,up,1500
R2v,GigabitEthernet0/2,,,down,administratively down,1500
R2v,GigabitEthernet0/3,MGMT,10.10.7.170/24,up,up,1500
R2v,Loopback0,,,up,up,1514
AC4v,GigabitEthernet0/0,link to D2v,,up (connected),up,1500
AC4v,GigabitEthernet0/1,VPC6,,up (connected),up,1500
AC4v,GigabitEthernet0/2,VPC7,,up (connected),up,1500
AC4v,GigabitEthernet0/3,MGMT,10.10.7.200/24,up (connected),up,1500
AC4v,GigabitEthernet1/0,link to D2v,,up (connected),up,1500
AC4v,GigabitEthernet1/1,,,down (notconnect),down,1500
AC4v,GigabitEthernet1/2,,,down (notconnect),down,1500
AC4v,GigabitEthernet1/3,,,down (notconnect),down,1500
AC4v,Port-channel2,,,up (connected),up,1500
AC3v,GigabitEthernet0/0,Link to D2v,,up (connected),up,1500
AC3v,GigabitEthernet0/1,VPC5,,up (connected),up,1500
AC3v,GigabitEthernet0/2,VPC5,,up (connected),up,1500
AC3v,GigabitEthernet0/3,MGMT,10.10.7.245/24,up (connected),up,1500
AC3v,GigabitEthernet1/0,,,down (notconnect),down,1500
AC3v,GigabitEthernet1/1,Link to D2v,,up (connected),up,1500
AC3v,GigabitEthernet1/2,,,down (notconnect),down,1500
AC3v,GigabitEthernet1/3,,,down (notconnect),down,1500
AC3v,Port-channel1,,,up (connected),up,1500
AC1v,GigabitEthernet0/0,UPLINK_TO_DISTRIBUTION,,up (connected),up,1500
AC1v,GigabitEthernet0/1,VPC1,,up (connected),up,1500
AC1v,GigabitEthernet0/2,VPC2,,up (connected),up,1500
AC1v,GigabitEthernet0/3,MGMT,10.10.7.186/24,up (connected),up,1500
AC1v,GigabitEthernet1/0,UPLINK_TO_DISTRIBUTION,,up (connected),up,1500
AC1v,GigabitEthernet1/1,,,down (notconnect),down,1500
AC1v,GigabitEthernet1/2,,,down (notconnect),down,1500
AC1v,GigabitEthernet1/3,,,down (notconnect),down,1500
AC1v,Port-channel1,,,up (connected),up,1500
AC2v,GigabitEthernet0/0,LINK_TO_DISTRIBUTION,,up (connected),up,1500
AC2v,GigabitEthernet0/1,VPC3,,up (connected),up,1500
AC2v,GigabitEthernet0/2,,,down (notconnect),down,1500
AC2v,GigabitEthernet0/3,MGMT,10.10.7.140/24,up (connected),up,1500
AC2v,GigabitEthernet1/0,,,down (notconnect),down,1500
AC2v,GigabitEthernet1/1,LINK_TO_DISTRIBUTION,,up (connected),up,1500
AC2v,GigabitEthernet1/2,,,down (notconnect),down,1500
AC2v,GigabitEthernet1/3,,,down (notconnect),down,1500
AC2v,Port-channel2,,,up (connected),up,1500
D2v,GigabitEthernet0/0,uplink to R4v,,up (connected),up,1500
D2v,GigabitEthernet0/1,Uplink to AC3v,,up (connected),up,1500
D2v,GigabitEthernet0/2,Uplink to AC4v,,up (connected),up,1500
D2v,GigabitEthernet0/3,MGMT,10.10.7.110/24,up (connected),up,1500
D2v,GigabitEthernet1/0,Uplink to AC4v,,up (connected),up,1500
D2v,GigabitEthernet1/1,Uplink to AC3v,,up (connected),up,1500
D2v,GigabitEthernet1/2,,,down (notconnect),down,1500
D2v,GigabitEthernet1/3,,,down (notconnect),down,1500
D2v,Port-channel1,,,up (connected),up,1500
D2v,Port-channel2,,,up (connected),up,1500
D1v,GigabitEthernet0/0,UPLINK to R1v,,up (connected),up,1500
D1v,GigabitEthernet0/1,TRUNK to AC1v,,up (connected),up,1500
D1v,GigabitEthernet0/2,TRUNK to AC2v,,up (connected),up,1500
D1v,GigabitEthernet0/3,MGMT,10.10.7.155/24,up (connected),up,1500
D1v,GigabitEthernet1/0,TRUNK to AC1v,,up (connected),up,1500
D1v,GigabitEthernet1/1,TRUNK to AC2v,,up (connected),up,1500
D1v,GigabitEthernet1/2,,,down (notconnect),down,1500
D1v,GigabitEthernet1/3,,,down (notconnect),down,1500
D1v,Port-channel1,,,up (connected),up,1500
D1v,Port-channel2,,,up (connected),up,1500
D1v,Vlan123,,,down,administratively down,1500
