Host,Interface,NativeVLAN,AllowedVLAns
AC1v,Gi0/0,1,['ALL']
AC1v,Gi1/0,1,['ALL']
AC4v,Gi0/0,1,['ALL']
AC4v,Gi1/0,1,['ALL']
AC1v,Po1,1,['ALL']
AC3v,Gi0/0,1,['ALL']
AC3v,Gi1/1,1,['ALL']
AC3v,Po1,1,['ALL']
D1v,Gi0/0,1,['ALL']
D1v,Gi0/1,1,['ALL']
D1v,Gi0/2,1,['ALL']
D1v,Gi1/0,1,['ALL']
D1v,Gi1/1,1,['ALL']
AC4v,Po2,1,['ALL']
D1v,Po1,1,['ALL']
D1v,Po2,1,['ALL']
D2v,Gi0/0,1,['ALL']
D2v,Gi0/1,1,['ALL']
D2v,Gi0/2,1,['ALL']
D2v,Gi1/0,1,['ALL']
D2v,Gi1/1,1,['ALL']
D2v,Po1,1,['ALL']
D2v,Po2,1,['ALL']
AC2v,Gi0/0,1,['ALL']
AC2v,Gi1/1,1,['ALL']
AC2v,Po2,1,['ALL']
